WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.43402 52.2399)",52.23990,4.43402,Emmaweg, 2202 CP, Noordwijk,https://waarneming.nl/observation/373788310/
"POINT (4.68024 52.15144)",52.15144,4.68024,Elzekrulzoom, 2403 SK, Alphen aan den Rijn,https://waarneming.nl/observation/343763197/
"POINT (4.54476 52.00407)",52.00407,4.54476,Beukenlaan, 2665 DX, Bleiswijk,https://waarneming.nl/observation/369913270/
"POINT (4.67609 52.13828)",52.13828,4.67609,President Kennedylaan, 2406 LJ, Alphen aan den Rijn,https://waarneming.nl/observation/371975947/
"POINT (4.24469 52.02865)",52.02865,4.24469,Wenpad, 2685 SJ, Poeldijk,https://waarneming.nl/observation/372632061/
"POINT (4.22363 52.02327)",52.02327,4.22363,De Backerstraat, 2685 TB, Poeldijk,https://waarneming.nl/observation/373635336/
"POINT (4.66142 52.15579)",52.15579,4.66142,Alida de Jongstraat, 2401 KT, Alphen aan den Rijn,https://waarneming.nl/observation/374771825/
"POINT (4.58222 52.00877)",52.00877,4.58222,Wethouder Kreftlaan, 2761 TZ, Zevenhuizen,https://waarneming.nl/observation/377416131/
"POINT (4.70079 52.11523)",52.11523,4.70079,Kortsteekterweg, 2407 AH, Alphen aan den Rijn,https://waarneming.nl/observation/377888350/
"POINT (4.65463 52.07051)",52.07051,4.65463,Kersengaarde, 2771 PR, Boskoop,https://waarneming.nl/observation/377888421/
"POINT (4.67608 52.13892)",52.13892,4.67608,Edelsteensingel, 2403 AA, Alphen aan den Rijn,https://waarneming.nl/observation/377888225/
"POINT (4.66796 52.07727)",52.07727,4.66796,Rozenlaan, 2771 DC, Boskoop,https://waarneming.nl/observation/379205803/
"POINT (4.65665 52.14917)",52.14917,4.65665,Vliestroom, 2401 VP, Alphen aan den Rijn,https://waarneming.nl/observation/379414203/
"POINT (4.69185 52.14479)",52.14479,4.69185,Ooievaarspad, 2403 GL, Alphen aan den Rijn,https://waarneming.nl/observation/379991735/
"POINT (4.6523 52.144)",52.14400,4.65230,Groenoord, 2401 AJ, Alphen aan den Rijn,https://waarneming.nl/observation/381158590/
"POINT (4.66194 52.15491)",52.15491,4.66194,Zegerpad, 2402 ZM, Alphen aan den Rijn,https://waarneming.nl/observation/381204579/
"POINT (4.65682 52.15102)",52.15102,4.65682,Klompenmaker, 2401 PW, Alphen aan den Rijn,https://waarneming.nl/observation/381758551/
"POINT (4.66393 52.07555)",52.07555,4.66393,A.P. van Neslaan, 2771 DE, Boskoop,https://waarneming.nl/observation/368921729/
"POINT (4.4826 52.18678)",52.18678,4.48260,Vincent van Goghlaan, 2343 RR, Oegstgeest,https://waarneming.nl/observation/373806217/
"POINT (4.45377 52.13556)",52.13556,4.45377,Schubertplantsoen, 2253 SL, Voorschoten,https://waarneming.nl/observation/372193406/
"POINT (4.24296 52.07401)",52.07401,4.24296,Kraaienlaan, 2566 RK, Den Haag, https://waarneming.nl/observation/374111963/
"POINT (4.38729 52.03105)",52.03105,4.38729,Veenwortel, 2498 EK, Den Haag,https://waarneming.nl/observation/370688004/
"POINT (4.27331 51.93009)",51.93009,4.27331,Haagwinde, 3155 WB, Maasland,https://waarneming.nl/observation/365198029/
"POINT (4.2719 51.93043)",51.93043,4.27190,Ingeland, 3155 GC, Maasland,https://waarneming.nl/observation/371265972/
"POINT (4.63518 52.16778)",52.16778,4.63518,Bateweg, 2481 AN, Woubrugge,https://waarneming.nl/observation/347843991/
"POINT (4.63748 52.16857)",52.16857,4.63748,Comriekade, 2481 AE, Woubrugge,https://waarneming.nl/observation/356119579/
"POINT (4.70891 52.19336)",52.19336,4.70891,F.J. Nuijensplein, 2461 RX, Langeraar,https://waarneming.nl/observation/368525142/
"POINT (4.64382 52.20988)",52.20988,4.64382,Praam, 2377 BW, Oude Wetering,https://waarneming.nl/observation/372035622/
