WKT,latitude,longitude,street,postalcode,city,description
"POINT (4.33546 51.80869)",51.80869,4.33546,Damgaarde, 3264 PS, Nieuw-Beijerland,https://waarneming.nl/observation/368309028/
"POINT (4.38621 51.91145)",51.91145,4.38621,Vondellaan, 3117 PS, Schiedam,https://waarneming.nl/observation/368162509/
"POINT (4.24473 51.92279)",51.92279,4.24473,P.J. Troelstraweg, 3144 CW, Maassluis,https://waarneming.nl/observation/368192636/
"POINT (4.14064 51.84887)",51.84887,4.14064,Stoofweg, 3223 CC, Hellevoetsluis,https://waarneming.nl/observation/368191667/
"POINT (4.08838 51.89844)",51.89844,4.08838,Heveringseweg, 3235 LZ, Rockanje,https://waarneming.nl/observation/368237432/
"POINT (4.25402 51.921)",51.92100,4.25402,Zuiddijk, 3143 AS, Maassluis,https://waarneming.nl/observation/368297078/
"POINT (4.70891 52.19336)",52.19336,4.70891,F.J. Nuijensplein, 2461 RX, Langeraar,https://waarneming.nl/observation/368525142/
"POINT (4.82485 51.82295)",51.82295,4.82485,Neptunusstraat, 3371 TH, Hardinxveld-Giessendam,https://waarneming.nl/observation/368418128/
"POINT (4.16968 52.00213)",52.00213,4.16968,van der Kest Wittensstraat, 2691 XD, 's-Gravenzande,https://waarneming.nl/observation/368395317/
"POINT (4.42311 51.86441)",51.86441,4.42311,Graaf Bentincklaan, 3161 KA, Rhoon,https://waarneming.nl/observation/368473550/
"POINT (4.15966 51.84953)",51.84953,4.15966,Moeder Teresalaan, 3223 MP, Hellevoetsluis,https://waarneming.nl/observation/368565066/
"POINT (4.9744 51.83323)",51.83323,4.97440,Altenastraat, 4201 BD, Gorinchem,https://waarneming.nl/observation/368585107/
"POINT (4.48205 51.89869)",51.89869,4.48205,Maashavenkade, 3072 ES, Rotterdam,https://waarneming.nl/observation/368746690/
"POINT (4.31325 52.09809)",52.09809,4.31325,Van Nijenrodestraat, 2597 RJ, Den Haag,https://waarneming.nl/observation/368781486/
"POINT (4.7253 51.83028)",51.83028,4.72530,Tiendweg-Oost, 3356 AB, Papendrecht,https://waarneming.nl/observation/369024842/
"POINT (4.65439 52.06987)",52.06987,4.65439,Julianastraat, 2771 DZ, Boskoop,https://waarneming.nl/observation/368925305/
"POINT (4.66393 52.07555)",52.07555,4.66393,A.P. van Neslaan, 2771 DE, Boskoop,https://waarneming.nl/observation/368921729/
"POINT (4.98506 51.83537)",51.83537,4.98506,Stenen Beer, 4207 GC, Gorinchem,https://waarneming.nl/observation/369102377/
"POINT (4.99029 51.84377)",51.84377,4.99029,Arkelsedijk, 4206 AC, Gorinchem,https://waarneming.nl/observation/371311404/
"POINT (4.39225 52.09829)",52.09829,4.39225,Duivenvoorde, 2261 AL, Leidschendam,https://waarneming.nl/observation/369065183/
"POINT (4.3893 51.9282)",51.92820,4.38930,Ganzenpad, 3121 KK, Schiedam,https://waarneming.nl/observation/369165841/
"POINT (4.55177 51.74736)",51.74736,4.55177,Boomgaard, 3291 TR, Strijen,https://waarneming.nl/observation/369170867/
"POINT (4.54296 51.92803)",51.92803,4.54296,Jean Augierstraat, 3065 JG, Rotterdam,https://waarneming.nl/observation/369189428/
"POINT (4.14032 51.83268)",51.83268,4.14032,A M de Jonglaan, 3221 VD, Hellevoetsluis,https://waarneming.nl/observation/369329127/
"POINT (4.34311 51.83579)",51.83579,4.34311,Kikkerveen, 3205 GB, Spijkenisse,https://waarneming.nl/observation/369305978/
"POINT (4.46331 51.93452)",51.93452,4.46331,Abraham Kuyperlaan, 3038 PE, Rotterdam,https://waarneming.nl/observation/369445102/
"POINT (4.38371 51.7572)",51.75720,4.38371,Noord-Achterweg, 3284 LR, Zuid-Beijerland,https://waarneming.nl/observation/369468927/
"POINT (4.36487 52.12677)",52.12677,4.36487,Kievietslaan, 2243 GB, Wassenaar,https://waarneming.nl/observation/369460887/
"POINT (4.26711 51.91212)",51.91212,4.26711,Vlaardingsedijk, 3143 LN, Maassluis,https://waarneming.nl/observation/369622524/
"POINT (4.54476 52.00407)",52.00407,4.54476,Beukenlaan, 2665 DX, Bleiswijk,https://waarneming.nl/observation/369913270/
"POINT (4.69339 51.75001)",51.75001,4.69339,Nieuwe Merwedeweg, 3329 KM, Dordrecht,https://waarneming.nl/observation/369769115/
"POINT (4.01942 51.80472)",51.80472,4.01942,Narcissenpad, 3251 CZ, Stellendam,https://waarneming.nl/observation/369779772/
"POINT (4.74878 51.80956)",51.80956,4.74878,Baanhoekweg, 3313 LN, Dordrecht,https://waarneming.nl/observation/369840719/
"POINT (4.34761 51.68589)",51.68589,4.34761,Sportlaan, 3257 XN, Ooltgensplaat,https://waarneming.nl/observation/370006945/
"POINT (4.85669 51.82641)",51.82641,4.85669,Sluisweg, 3371 ES, Hardinxveld-Giessendam,https://waarneming.nl/observation/369911147/
