WKT,latitude,longitude,street,postalcode,city,description
"POINT (5.06286 51.52828)",51.52828,5.06286,Tilburgseweg, 5051 AL, Goirle,https://waarneming.nl/observation/345648833/
"POINT (4.79252 51.67028)",51.67028,4.79252,Meeuwenlaan, 4921 VK, Made,https://waarneming.nl/observation/345587932/
"POINT (4.31593 51.58321)",51.58321,4.31593,Van Gaverenlaan, 4651 CT, Welberg,https://waarneming.nl/observation/345621934/
"POINT (5.3583 51.31612)",51.31612,5.35830,Dokter A. Hoynck van Papendrechtstraat, 5571 GW, Bergeijk,https://waarneming.nl/observation/346231683/
"POINT (5.03929 51.54449)",51.54449,5.03929,Aa of Weerijs, 5032 BB, Tilburg,https://waarneming.nl/observation/345661890/
"POINT (4.58957 51.643)",51.64300,4.58957,Akkerwindestraat, 4761 ZG, Zevenbergen,https://waarneming.nl/observation/345729508/
"POINT (4.89553 51.81116)",51.81116,4.89553,van Tienhoven van de Boogaardstraat, 4251 EN, Werkendam,https://waarneming.nl/observation/345782409/
"POINT (5.44404 51.48946)",51.48946,5.44404,Avrancheslaan, 5627 NT, Eindhoven,https://waarneming.nl/observation/350807972/
"POINT (5.38052 51.70701)",51.70701,5.38052,Milla de Kampenstraat, 5248 AR, Rosmalen,https://waarneming.nl/observation/345796824/
"POINT (5.62051 51.35995)",51.35995,5.62051,Albertlaan, 6029 PN, Sterksel,https://waarneming.nl/observation/345790683/
"POINT (4.48287 51.52256)",51.52256,4.48287,Albastdijk, 4706 AL, Roosendaal,https://waarneming.nl/observation/345767944/
"POINT (4.35907 51.51918)",51.51918,4.35907,Torenbaan, 4726 AW, Heerle,https://waarneming.nl/observation/345928056/
"POINT (5.45314 51.43931)",51.43931,5.45314,Tjalkstraat, 5616 KB, Eindhoven,https://waarneming.nl/observation/346024759/
"POINT (5.55018 51.45925)",51.45925,5.55018,Heikampen, 5672 SM, Nuenen,https://waarneming.nl/observation/345912914/
"POINT (5.39746 51.4206)",51.42060,5.39746,Het Struweel, 5501 AP, Veldhoven,https://waarneming.nl/observation/345926426/
"POINT (4.31774 51.57453)",51.57453,4.31774,Elzeplein, 4651 JW, Welberg,https://waarneming.nl/observation/345956714/
"POINT (4.59734 51.65154)",51.65154,4.59734,De Knip, 4761 GV, Zevenbergen,https://waarneming.nl/observation/346096807/
"POINT (5.34732 51.32119)",51.32119,5.34732,De Wieken, 5571 RD, Bergeijk,https://waarneming.nl/observation/346116085/
"POINT (5.17021 51.57159)",51.57159,5.17021,Oisterwijksebaan, 5059 AR, Oisterwijk,https://waarneming.nl/observation/346026385/
"POINT (5.38089 51.50978)",51.50978,5.38089,Oirschotseweg, 5684 NL, Best,https://waarneming.nl/observation/346033639/
