WKT,latitude,longitude,street,postalcode,city,description
"POINT (6.01644 51.70069)",51.70069,6.01644,De Steeg, 6599 EG, Ven-Zelderheide,https://waarneming.nl/observation/376385074/
"POINT (5.9638 50.93443)",50.93443,5.96380,Wieënweg, 6445 CE, Brunssum,https://waarneming.nl/observation/376386687/
"POINT (5.76505 50.84237)",50.84237,5.76505,Sint Antoniusbank, 6268 NP, Bemelen,https://waarneming.nl/observation/376389522/
"POINT (6.03547 50.8666)",50.86660,6.03547,Winricusstraat, 6467 BN, Kerkrade,https://waarneming.nl/observation/376392355/
"POINT (5.92569 50.9312)",50.93120,5.92569,Emmastraat, 6431 CS, Heerlen,https://waarneming.nl/observation/376395317/
"POINT (5.88169 50.97103)",50.97103,5.88169,Hoddelsley, 6151 NR, Sittard-Geleen,https://waarneming.nl/observation/376404843/
"POINT (6.06027 50.86003)",50.86003,6.06027,Verhagenstraat, 6461 XA, Kerkrade,https://waarneming.nl/observation/376406168/
"POINT (5.97485 51.17973)",51.17973,5.97485,Belleboom, 6041 PP, Roermond,https://waarneming.nl/observation/376407143/
"POINT (5.76904 50.97528)",50.97528,5.76904,Raedtsstraat, 6171 TW, Stein,https://waarneming.nl/observation/376429440/
"POINT (5.87874 51.16151)",51.16151,5.87874,Hofstraat, 6019 CB, Wessem,https://waarneming.nl/observation/376731503/
"POINT (6.00486 51.19574)",51.19574,6.00486,Charles Ruysstraat, 6042 CC, Roermond,https://waarneming.nl/observation/376425837/
"POINT (5.97564 51.1791)",51.17910,5.97564,Tintelberg, 6041 PT, Roermond,https://waarneming.nl/observation/376431300/
"POINT (5.75894 50.84711)",50.84711,5.75894,Oude Akerstraat, 6268 NB, Bemelen,https://waarneming.nl/observation/376444094/
"POINT (5.95907 50.95309)",50.95309,5.95907,Montgomerystraat, 6441 KB, Brunssum,https://waarneming.nl/observation/376445285/
"POINT (6.02302 51.19924)",51.19924,6.02302,Wijerspad, 6042 NK, Roermond,https://waarneming.nl/observation/376452776/
"POINT (5.9025 50.99599)",50.99599,5.90250,Wehrerweg, 6137 LC, Sittard,https://waarneming.nl/observation/376465336/
"POINT (5.81191 51.18849)",51.18849,5.81191,Jacobusstraat, 6013 RK, Hunsel,https://waarneming.nl/observation/376511430/
"POINT (5.67203 50.8498)",50.84980,5.67203,Antoon van Elenstraat, 6217 JM, Maastricht,https://waarneming.nl/observation/377384233/
"POINT (5.69662 50.82587)",50.82587,5.69662,Maasboulevard, 6212 NB, Maastricht,https://waarneming.nl/observation/376549154/
"POINT (5.95976 50.89181)",50.89181,5.95976,Landvoogdstraat, 6411 XA, Heerlen,https://waarneming.nl/observation/376552785/
"POINT (6.06906 51.35887)",51.35887,6.06906,Houthei, 5993 PL, Maasbree,https://waarneming.nl/observation/376568739/
"POINT (5.94904 50.91387)",50.91387,5.94904,Paardestaarterf, 6413 LL, Heerlen,https://waarneming.nl/observation/376585694/
"POINT (5.96446 50.9214)",50.92140,5.96446,Nederlandlaan, 6414 HB, Heerlen,https://waarneming.nl/observation/376634314/
"POINT (5.94888 50.91364)",50.91364,5.94888,Paardestaarterf, 6413 LL, Heerlen,https://waarneming.nl/observation/376685302/
"POINT (5.78585 50.85941)",50.85941,5.78585,Rijksweg, 6325 AG, Vilt,https://waarneming.nl/observation/376727318/
"POINT (5.94941 50.91355)",50.91355,5.94941,Paardestaarterf, 6413 LL, Heerlen,https://waarneming.nl/observation/376700168/
"POINT (5.96626 50.90717)",50.90717,5.96626,Schelsberg, 6413 AH, Heerlen,https://waarneming.nl/observation/376698483/
"POINT (5.67615 50.84315)",50.84315,5.67615,Sint Theresiaplein, 6213 CG, Maastricht,https://waarneming.nl/observation/376622588/
"POINT (5.97519 50.91853)",50.91853,5.97519,Adelaarstraat, 6414 CX, Heerlen,https://waarneming.nl/observation/376622290/
"POINT (5.92332 51.16693)",51.16693,5.92332,Stuwbrugpad, 6067 BJ, Linne,https://waarneming.nl/observation/376636469/
"POINT (5.84732 51.1489)",51.14890,5.84732,Aan De Maas, 3640, Kessenich,https://waarneming.nl/observation/377565870/
"POINT (5.78703 51.02906)",51.02906,5.78703,Langs de Veestraat, 6125 RN, Obbicht,https://waarneming.nl/observation/376692184/
"POINT (5.98513 50.9232)",50.92320,5.98513,Schaapskooiweg, 6414 EL, Heerlen,https://waarneming.nl/observation/377528478/
"POINT (5.77888 51.04608)",51.04608,5.77888,Op de Coul, 6124 BB, Papenhoven,https://waarneming.nl/observation/376728356/
"POINT (5.86756 50.85113)",50.85113,5.86756,Strucht, 6305 AH, Schin op Geul,https://waarneming.nl/observation/376772770/
"POINT (5.97545 50.91889)",50.91889,5.97545,Heerenweg, 6414 AR, Heerlen,https://waarneming.nl/observation/376908594/
"POINT (6.15622 51.45912)",51.45912,6.15622,De Steegh, 5973 PZ, Lottum,https://waarneming.nl/observation/376738232/
"POINT (5.80479 50.85788)",50.85788,5.80479,Rijksweg, 6325 AH, Vilt,https://waarneming.nl/observation/376817855/
"POINT (5.98898 50.87754)",50.87754,5.98898,Kaldebornweg, 6417 BA, Heerlen,https://waarneming.nl/observation/376944091/
"POINT (5.84902 51.14826)",51.14826,5.84902,Aan De Maas, 3640, Kessenich,https://waarneming.nl/observation/376819861/
"POINT (6.15715 51.3345)",51.33450,6.15715,Branderspad, 5932 XP, Tegelen,https://waarneming.nl/observation/376807195/
"POINT (5.82746 51.11812)",51.11812,5.82746,Veldstraat, 6109 RL, Ohé en Laak,https://waarneming.nl/observation/376830540/
"POINT (5.82918 51.11658)",51.11658,5.82918,Veldstraat, 6109 RL, Ohé en Laak,https://waarneming.nl/observation/376829227/
"POINT (5.98627 50.87756)",50.87756,5.98627,Burgemeester Waszinkstraat, 6417 CX, Heerlen,https://waarneming.nl/observation/376917372/
"POINT (5.94861 50.91381)",50.91381,5.94861,Paardestaarterf, 6413 LL, Heerlen,https://waarneming.nl/observation/376875365/
"POINT (5.99021 50.87767)",50.87767,5.99021,Bongaertslaan, 6417 BC, Heerlen,https://waarneming.nl/observation/376915925/
"POINT (6.18688 51.36178)",51.36178,6.18688,Wethouder Lommenstraat, 5913 RR, Blerick,https://waarneming.nl/observation/376963691/
"POINT (5.95615 50.93)",50.93000,5.95615,De Weggebekker, 6413 NR, Heerlen,https://waarneming.nl/observation/376883674/
"POINT (5.79523 50.85692)",50.85692,5.79523,Lindenstraat, 6325 PA, Vilt,https://waarneming.nl/observation/376888336/
"POINT (5.84246 51.15955)",51.15955,5.84246,Onder de Bomen, 6017 AL, Thorn,https://waarneming.nl/observation/376894400/
"POINT (5.88748 50.81131)",50.81131,5.88748,Molenweg, 6271 JN, Gulpen,https://waarneming.nl/observation/376975318/
"POINT (5.7297 50.83885)",50.83885,5.72970,Kerkhofweg, 6227 TG, Maastricht,https://waarneming.nl/observation/376900755/
"POINT (5.73786 50.84221)",50.84221,5.73786,Akersteenweg, 6227 AE, Maastricht,https://waarneming.nl/observation/376910864/
"POINT (6.18874 51.36349)",51.36349,6.18874,Wethouder Lommenstraat, 5913 RS, Blerick,https://waarneming.nl/observation/376932535/
"POINT (5.70687 50.84335)",50.84335,5.70687,Paus Leo XIII plein, 6221 VK, Maastricht,https://waarneming.nl/observation/376966348/
"POINT (5.71302 50.84807)",50.84807,5.71302,Hunnenweg, 6224 JP, Maastricht,https://waarneming.nl/observation/377060998/
"POINT (6.03817 51.51005)",51.51005,6.03817,,5808 CD, Oirlo,https://waarneming.nl/observation/377037483/
"POINT (5.68417 50.84585)",50.84585,5.68417,Polvertorenplein, 6211 MZ, Maastricht,https://waarneming.nl/observation/377403691/
"POINT (5.68775 50.83177)",50.83177,5.68775,Ganzendries, 6212 ND, Maastricht,https://waarneming.nl/observation/377006209/
"POINT (5.96443 50.91974)",50.91974,5.96443,Marshallsingel, 6414 GN, Heerlen,https://waarneming.nl/observation/376997727/
"POINT (5.68807 50.8321)",50.83210,5.68807,Ganzendries, 6212 ND, Maastricht,https://waarneming.nl/observation/376998470/
"POINT (5.82752 50.81665)",50.81665,5.82752,Termaar, 6269 AE, Margraten,https://waarneming.nl/observation/377849372/
"POINT (5.89604 51.09274)",51.09274,5.89604,Dorpstraat, 6102 TZ, Hingen,https://waarneming.nl/observation/377015594/
"POINT (5.99603 51.19153)",51.19153,5.99603,Oranjelaan, 6043 CS, Roermond,https://waarneming.nl/observation/377018337/
"POINT (5.70492 50.84821)",50.84821,5.70492,Spoorweglaan, 6221 BS, Maastricht,https://waarneming.nl/observation/377029341/
"POINT (5.80519 50.85787)",50.85787,5.80519,Rijksweg, 6325 AH, Vilt,https://waarneming.nl/observation/377085218/
"POINT (5.96693 50.93417)",50.93417,5.96693,Wieënweg, 6445 CE, Brunssum,https://waarneming.nl/observation/377045105/
"POINT (5.96426 50.92108)",50.92108,5.96426,Beneluxlaan, 6414 GX, Heerlen,https://waarneming.nl/observation/377050625/
"POINT (6.06986 50.88275)",50.88275,6.06986,Adriaen Brouwerstraat, 6464 AV, Kerkrade,https://waarneming.nl/observation/377050775/
"POINT (5.96472 50.91957)",50.91957,5.96472,Marshallsingel, 6414 GN, Heerlen,https://waarneming.nl/observation/377051528/
"POINT (5.88876 50.81136)",50.81136,5.88876,Molenweg, 6271 JN, Gulpen,https://waarneming.nl/observation/377055506/
"POINT (5.85268 51.28442)",51.28442,5.85268,Hollander, 6093 PC, Heythuysen,https://waarneming.nl/observation/377074054/
"POINT (6.01646 50.86611)",50.86611,6.01646,Daslook, 6467 JC, Kerkrade,https://waarneming.nl/observation/377074873/
"POINT (5.98925 51.31896)",51.31896,5.98925,Jacob van Marisring, 5988 KG, Helden,https://waarneming.nl/observation/377080830/
"POINT (5.86212 50.97381)",50.97381,5.86212,Kerkstraat, 6151 CL, Munstergeleen,https://waarneming.nl/observation/377172808/
"POINT (5.73017 50.89398)",50.89398,5.73017,Pastoorslaan, 6241 BM, Bunde,https://waarneming.nl/observation/377189441/
"POINT (5.9753 50.91762)",50.91762,5.97530,Heerenweg, 6414 AS, Heerlen,https://waarneming.nl/observation/377111517/
"POINT (5.84198 50.86266)",50.86266,5.84198,Oosterweg, 6301 PV, Valkenburg,https://waarneming.nl/observation/377120296/
"POINT (5.84014 51.01221)",51.01221,5.84014,Pagestraat, 6141 AL, Limbricht,https://waarneming.nl/observation/377174489/
"POINT (6.01622 50.86976)",50.86976,6.01622,Rukkerweg, 6372 XS, Heerlen,https://waarneming.nl/observation/377112024/
"POINT (6.03454 51.12404)",51.12404,6.03454,Nieuw Holsterweg, 6061 EG, Posterholt,https://waarneming.nl/observation/377120067/
"POINT (5.74957 50.93463)",50.93463,5.74957,Kanaalweg, 6243 BC, Geulle aan de Maas,https://waarneming.nl/observation/377153416/
"POINT (5.96542 50.92161)",50.92161,5.96542,Navolaan, 6414 HH, Heerlen,https://waarneming.nl/observation/377116387/
"POINT (5.77579 50.86028)",50.86028,5.77579,Rijksweg, 6325 AA, Berg en Terblijt,https://waarneming.nl/observation/377125891/
"POINT (5.73821 50.84213)",50.84213,5.73821,Akersteenweg, 6227 AE, Maastricht,https://waarneming.nl/observation/377238500/
"POINT (5.70721 50.84313)",50.84313,5.70721,Paus Leo XIII plein, 6221 VH, Maastricht,https://waarneming.nl/observation/377128319/
"POINT (5.84633 51.14893)",51.14893,5.84633,Aan De Maas, 3640, Kessenich,https://waarneming.nl/observation/377161226/
"POINT (6.02182 50.87801)",50.87801,6.02182,Hofstraat, 6372 XC, Landgraaf,https://waarneming.nl/observation/377134862/
"POINT (6.10427 51.53072)",51.53072,6.10427,Oude Heerweg, 5863 AD, Blitterswijck,https://waarneming.nl/observation/377166957/
"POINT (5.72152 50.87218)",50.87218,5.72152,Mariënwaard, 6222 AM, Maastricht,https://waarneming.nl/observation/377415558/
"POINT (5.81513 50.86726)",50.86726,5.81513,Klaterstraat, 6301 VG, Houthem,https://waarneming.nl/observation/377177370/
"POINT (5.7073 50.83676)",50.83676,5.70730,Leuvenlaan, 6229 GX, Maastricht,https://waarneming.nl/observation/377416510/
"POINT (5.89595 51.24783)",51.24783,5.89595,Oude Trambaan, 6093 CD, Heythuysen,https://waarneming.nl/observation/377160846/
"POINT (5.84479 50.97142)",50.97142,5.84479,Oranjelaan, 6166 BP, Geleen,https://waarneming.nl/observation/377361934/
"POINT (5.77511 50.80759)",50.80759,5.77511,Dorpsstraat, 6251 NC, Eckelrade,https://waarneming.nl/observation/377440623/
"POINT (6.01577 50.76598)",50.76598,6.01577,Huub Hermansstraat, 6291 LN, Vaals,https://waarneming.nl/observation/377173811/
"POINT (6.0018 51.14265)",51.14265,6.00180,Dokter Meuwissenstraat, 6077 BP, Sint Odiliënberg,https://waarneming.nl/observation/377267558/
"POINT (5.77953 50.99181)",50.99181,5.77953,Ruys de Beerenbroucklaan, 6129 HD, Berg aan de Maas,https://waarneming.nl/observation/377215920/
"POINT (5.8548 51.00311)",51.00311,5.85480,Valkstraat, 6135 GB, Sittard,https://waarneming.nl/observation/377330191/
