WKT,latitude,longitude,street,postalcode,city,description
"POINT (3.79291 51.22703)",51.22703,3.79291,Westdam, 4551 GD, Sas van Gent,https://waarneming.nl/observation/358484973/
"POINT (4.02086 51.3686)",51.36860,4.02086,Hulsterweg, 4587 ED, Kloosterzande,https://waarneming.nl/observation/358421004/
"POINT (3.85109 51.3322)",51.33220,3.85109,Lorentzlaan, 4532 KM, Terneuzen,https://waarneming.nl/observation/358501176/
"POINT (3.84997 51.32116)",51.32116,3.84997,Mozarthof, 4536 AT, Terneuzen,https://waarneming.nl/observation/358614132/
"POINT (3.97307 51.32665)",51.32665,3.97307,Populierenstraat, 4581 BR, Vogelwaarde,https://waarneming.nl/observation/358667936/
"POINT (4.03569 51.44901)",51.44901,4.03569,Burgemeester Elenbaasstraat, 4416 AN, Kruiningen,https://waarneming.nl/observation/358581662/
"POINT (4.14391 51.54404)",51.54404,4.14391,Markt, 4693 CA, Poortvliet,https://waarneming.nl/observation/358679910/
"POINT (4.03115 51.45028)",51.45028,4.03115,,4416 AB, Kruiningen,https://waarneming.nl/observation/359120957/
"POINT (3.70726 51.67707)",51.67707,3.70726,Hoge Hilleweg, 4328 RA, Burgh-Haamstede,https://waarneming.nl/observation/358646003/
"POINT (3.81219 51.49904)",51.49904,3.81219,Arendstraat, 4458 AP, 's-Heer Arendskerke,https://waarneming.nl/observation/358646835/
"POINT (4.19384 51.42927)",51.42927,4.19384,Middenhof, 4411 RW, Rilland,https://waarneming.nl/observation/358765072/
"POINT (4.03135 51.44976)",51.44976,4.03135,H.P.A. Poortvlietpaadje, 4416 CD, Kruiningen,https://waarneming.nl/observation/358782169/
"POINT (3.75157 51.49726)",51.49726,3.75157,Veersemeerstraat, 4456 AZ, Lewedorp,https://waarneming.nl/observation/358974301/
"POINT (4.1448 51.54682)",51.54682,4.14480,Burgemeet, 4693 CJ, Poortvliet,https://waarneming.nl/observation/359096730/
"POINT (3.53219 51.40058)",51.40058,3.53219,Schoneveld, 4511 PL, Breskens,https://waarneming.nl/observation/359081604/
"POINT (3.87214 51.49787)",51.49787,3.87214,Ploegweg, 4462 GW, Goes,https://waarneming.nl/observation/359307970/
"POINT (4.16791 51.61746)",51.61746,4.16791,Julianastraat, 4675 CH, Sint Philipsland,https://waarneming.nl/observation/359307076/
"POINT (3.91434 51.26686)",51.26686,3.91434,Crijnssenstraat, 4571 CB, Axel,https://waarneming.nl/observation/359269755/
"POINT (4.04615 51.26304)",51.26304,4.04615,Wilgenstraat, 4564 CD, Sint Jansteen,https://waarneming.nl/observation/359290755/
"POINT (4.16828 51.61757)",51.61757,4.16828,Julianastraat, 4675 CH, Sint Philipsland,https://waarneming.nl/observation/359305339/
"POINT (4.0766 51.29232)",51.29232,4.07660,Koekoeksbloem, 4561 TL, Hulst,https://waarneming.nl/observation/359377302/
"POINT (3.94286 51.26899)",51.26899,3.94286,Hulsterseweg, 4571 RH, Axel,https://waarneming.nl/observation/359457673/
"POINT (3.38802 51.34412)",51.34412,3.38802,Killedijk, 4525 LP, Retranchement,https://waarneming.nl/observation/359523980/
"POINT (3.8987 51.27079)",51.27079,3.89870,de Savornin Lohmanlaan, 4571 KH, Axel,https://waarneming.nl/observation/359490971/
"POINT (3.43821 51.27845)",51.27845,3.43821,Draaibrugseweg, 4527 PA, Aardenburg,https://waarneming.nl/observation/359623973/
"POINT (4.01282 51.37239)",51.37239,4.01282,Churchillhof, 4587 EV, Kloosterzande,https://waarneming.nl/observation/359615162/
"POINT (4.10748 51.3535)",51.35350,4.10748,Zeestraat, 4569 TG, Graauw,https://waarneming.nl/observation/359622728/
"POINT (3.91354 51.42105)",51.42105,3.91354,Kapuinhoekweg, 4433 BK, Hoedekenskerke,https://waarneming.nl/observation/359717538/
"POINT (3.77971 51.30826)",51.30826,3.77971,Bernhardstraat, 4542 AX, Hoek,https://waarneming.nl/observation/359790879/
"POINT (3.52131 51.31448)",51.31448,3.52131,Klein Brabant, 4508 NG, Waterlandkerkje,https://waarneming.nl/observation/359833420/
"POINT (3.52007 51.31193)",51.31193,3.52007,Klein Brabant, 4508 NZ, Waterlandkerkje,https://waarneming.nl/observation/362078658/
"POINT (3.87508 51.49781)",51.49781,3.87508,Riemwagenweg, 4462 GW, Goes,https://waarneming.nl/observation/362078816/
"POINT (3.65439 51.55285)",51.55285,3.65439,Fazantenlaan, 4351 RV, Zanddijk,https://waarneming.nl/observation/359939244/
"POINT (3.55399 51.56597)",51.56597,3.55399,Pomonastraat, 4356 AK, Oostkapelle,https://waarneming.nl/observation/360023642/
"POINT (3.66018 51.36648)",51.36648,3.66018,Koningin Julianastraat, 4513 AX, Hoofdplaat,https://waarneming.nl/observation/359979341/
"POINT (3.97764 51.34733)",51.34733,3.97764,Zuiddijk, 4585 PP, Hengstdijk,https://waarneming.nl/observation/360194935/
"POINT (3.6065 51.52008)",51.52008,3.60650,Brigdamseweg, 4333 KL, Sint Laurens,https://waarneming.nl/observation/360094963/
"POINT (3.48378 51.32798)",51.32798,3.48378,Burgemeester Gratamastraat, 4501 JD, Oostburg,https://waarneming.nl/observation/360096938/
"POINT (3.92181 51.65596)",51.65596,3.92181,Lange Blokweg, 4301 NX, Zierikzee,https://waarneming.nl/observation/360307299/
"POINT (3.91697 51.4938)",51.49380,3.91697,Oostmolenweg, 4481 PL, Kloetinge,https://waarneming.nl/observation/360207190/
"POINT (3.55602 51.58003)",51.58003,3.55602,Vroonweg, 4356 EV, Oostkapelle,https://waarneming.nl/observation/360382829/
"POINT (3.99812 51.461)",51.46100,3.99812,Boomweidelaan, 4423 AN, Schore,https://waarneming.nl/observation/360307185/
"POINT (4.04507 51.49116)",51.49116,4.04507,Dahlialaan, 4401 GW, Yerseke,https://waarneming.nl/observation/360416331/
"POINT (3.78468 51.31381)",51.31381,3.78468,Kreeksingel, 4542 BN, Hoek,https://waarneming.nl/observation/369259977/
"POINT (3.77635 51.4536)",51.45360,3.77635,Patrijzenpad, 4453 BB, 's-Heerenhoek,https://waarneming.nl/observation/369259779/
"POINT (4.06724 51.30392)",51.30392,4.06724,Zeildijk, 4561 SH, Hulst,https://waarneming.nl/observation/360480631/
"POINT (4.00675 51.31731)",51.31731,4.00675,Margaretsedijk, 4585 PA, Hengstdijk,https://waarneming.nl/observation/360479835/
"POINT (4.19674 51.56645)",51.56645,4.19674,Molenweg, 4698 AW, Oud-Vossemeer,https://waarneming.nl/observation/360530648/
"POINT (3.6057 51.46415)",51.46415,3.60570,Irenestraat, 4388 KW, Oost-Souburg,https://waarneming.nl/observation/361232263/
"POINT (3.59952 51.50404)",51.50404,3.59952,Abbé de Saint Pierre-laan, 4334 AP, Middelburg,https://waarneming.nl/observation/360671621/
"POINT (3.59506 51.54871)",51.54871,3.59506,Vroonstraat, 4353 AE, Serooskerke,https://waarneming.nl/observation/360688192/
"POINT (4.10214 51.32871)",51.32871,4.10214,Rozenstraat, 4569 AV, Graauw,https://waarneming.nl/observation/361281763/
"POINT (3.81897 51.52966)",51.52966,3.81897,Dokter Vosstraat, 4471 CW, Oud-Sabbinge,https://waarneming.nl/observation/362369570/
"POINT (4.02812 51.44693)",51.44693,4.02812,Einsteinstraat, 4416 EL, Kruiningen,https://waarneming.nl/observation/361021314/
"POINT (3.62873 51.45423)",51.45423,3.62873,Rammekensweg, 4389 TZ, Ritthem,https://waarneming.nl/observation/361181611/
"POINT (4.227 51.53912)",51.53912,4.22700,Oud Vossemeersedijk, 4691 SK, Tholen,https://waarneming.nl/observation/361092507/
"POINT (3.90769 51.23661)",51.23661,3.90769,Sint Katrijnstraat, 4574 PZ, Zuiddorpe,https://waarneming.nl/observation/361280658/
"POINT (3.94718 51.70487)",51.70487,3.94718,Zuidweg, 4317 LA, Zonnemaire,https://waarneming.nl/observation/361169445/
"POINT (4.04567 51.2859)",51.28590,4.04567,Moersluisstraat, 4561 HE, Hulst,https://waarneming.nl/observation/361266476/
"POINT (3.87242 51.50519)",51.50519,3.87242,'s-Heer Hendrikskinderendijk, 4461 EC, Goes,https://waarneming.nl/observation/369260563/
"POINT (4.21712 51.53879)",51.53879,4.21712,Burgemeester Wagthoplein, 4691 JH, Tholen,https://waarneming.nl/observation/361373009/
"POINT (3.88567 51.51479)",51.51479,3.88567,Indira Gandhilaan, 4463 JG, Goes,https://waarneming.nl/observation/361430608/
"POINT (3.75417 51.49912)",51.49912,3.75417,Nieuwe Kraaijertsedijk, 4456 NP, Lewedorp,https://waarneming.nl/observation/361574421/
"POINT (3.75672 51.49887)",51.49887,3.75672,Maalweg, 4456 RM, Lewedorp,https://waarneming.nl/observation/361601506/
"POINT (3.76587 51.72264)",51.72264,3.76587,Hogezoom, 4325 CL, Renesse,https://waarneming.nl/observation/361754303/
"POINT (4.21508 51.53662)",51.53662,4.21508,Molenvlietsedijk, 4691 HS, Tholen,https://waarneming.nl/observation/361907017/
"POINT (4.00786 51.44766)",51.44766,4.00786,Berkellaan, 4417 DJ, Hansweert,https://waarneming.nl/observation/362150650/
"POINT (3.56709 51.4626)",51.46260,3.56709,Wilhelmina Druckerlaan, 4385 JA, Vlissingen,https://waarneming.nl/observation/361935005/
"POINT (3.83945 51.32153)",51.32153,3.83945,Akkerwindelaan, 4537 CH, Terneuzen,https://waarneming.nl/observation/361957508/
"POINT (3.6956 51.33028)",51.33028,3.69560,Baarsekreekweg, 4521 PZ, Biervliet,https://waarneming.nl/observation/361990038/
"POINT (3.91394 51.65077)",51.65077,3.91394,Varremarkt, 4301 ER, Zierikzee,https://waarneming.nl/observation/362044181/
"POINT (3.41421 51.37103)",51.37103,3.41421,Ringdijk Noord, 4506 HB, Cadzand,https://waarneming.nl/observation/362077098/
"POINT (3.37713 51.36839)",51.36839,3.37713,Kaapvaartstraat, 4525 NN, Retranchement,https://waarneming.nl/observation/362233039/
"POINT (3.7523 51.49159)",51.49159,3.75230,Nieuwe Kraaijertsedijk, 4456 NP, Lewedorp,https://waarneming.nl/observation/369273578/
"POINT (3.59936 51.55188)",51.55188,3.59936,De Woongaard, 4353 BZ, Serooskerke,https://waarneming.nl/observation/369261623/
"POINT (3.54921 51.56779)",51.56779,3.54921,Blauwe Reiger, 4356 DD, Oostkapelle,https://waarneming.nl/observation/362121550/
"POINT (3.56318 51.46077)",51.46077,3.56318,Rosenburglaan, 4385 KL, Vlissingen,https://waarneming.nl/observation/362145007/
"POINT (3.96917 51.32692)",51.32692,3.96917,Meulenpad, 4581 EA, Vogelwaarde,https://waarneming.nl/observation/362231294/
"POINT (3.91307 51.72416)",51.72416,3.91307,Zuiddijkstraat, 4318 BD, Brouwershaven,https://waarneming.nl/observation/362306976/
"POINT (3.89894 51.68477)",51.68477,3.89894,Kerkweg, 4321 AB, Kerkwerve,https://waarneming.nl/observation/362368127/
"POINT (3.98434 51.32291)",51.32291,3.98434,Esdoornstraat, 4581 AK, Vogelwaarde,https://waarneming.nl/observation/362391546/
"POINT (3.74597 51.42785)",51.42785,3.74597,Kaaiweg, 4454 PN, Borssele,https://waarneming.nl/observation/362458771/
